Hs,Tp,Dp,Tz,T01,T-1,Dm,S0,HsSwell,TpSwell,DpSwell,HsSea,TpSea,DpSea,H13,T13,H10,T10,Hmax,Tmax,datetime,hourly,tenmin
1.659,14.2,291,5.5,6.6,9.2,273,0.95,1.145,14.2,291,1.113,6.1,267,1.64,9.2,1.989,9.8,2.421,12.5,2019-12-05T01:05:00Z,2019-12-05T01:00:00Z,2019-12-05T01:00:00Z
1.659,14.2,291,5.5,6.6,9.2,273,0.95,1.145,14.2,291,1.113,6.1,267,1.64,9.2,1.989,9.8,2.421,12.5,2019-12-05T01:10:00Z,2019-12-05T01:00:00Z,2019-12-05T01:10:00Z
1.659,14.2,291,5.5,6.6,9.2,273,0.95,1.145,14.2,291,1.113,6.1,267,1.64,9.2,1.989,9.8,2.421,12.5,2019-12-05T01:15:00Z,2019-12-05T01:00:00Z,2019-12-05T01:10:00Z
1.664,14.2,254,6.3,8.2,11.7,271,1.01,1.4,14.2,254,0.785,6.1,278,1.529,11.4,1.894,12.2,2.328,12.5,2020-01-01T17:00:00Z,2020-01-01T17:00:00Z,2020-01-01T17:00:00Z
1.664,14.2,254,6.3,8.2,11.7,271,1.01,1.4,14.2,254,0.785,6.1,278,1.529,11.4,1.894,12.2,2.328,12.5,2020-01-01T17:05:00Z,2020-01-01T17:00:00Z,2020-01-01T17:00:00Z
1.664,14.2,254,6.3,8.2,11.7,271,1.01,1.4,14.2,254,0.785,6.1,278,1.529,11.4,1.894,12.2,2.328,12.5,2020-01-01T17:10:00Z,2020-01-01T17:00:00Z,2020-01-01T17:10:00Z
1.664,14.2,254,6.3,8.2,11.7,271,1.01,1.4,14.2,254,0.785,6.1,278,1.529,11.4,1.894,12.2,2.328,12.5,2020-01-01T17:15:00Z,2020-01-01T17:00:00Z,2020-01-01T17:10:00Z
1.665,11.6,295,3.3,3.7,5.6,263,1.12,0.755,11.6,295,1.458,3.5,244,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-14T05:00:00Z,2020-01-14T05:00:00Z,2020-01-14T05:00:00Z
1.665,11.6,295,3.3,3.7,5.6,263,1.12,0.755,11.6,295,1.458,3.5,244,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-14T05:05:00Z,2020-01-14T05:00:00Z,2020-01-14T05:00:00Z
1.665,11.6,295,3.3,3.7,5.6,263,1.12,0.755,11.6,295,1.458,3.5,244,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-14T05:10:00Z,2020-01-14T05:00:00Z,2020-01-14T05:10:00Z
1.665,11.6,295,3.3,3.7,5.6,263,1.12,0.755,11.6,295,1.458,3.5,244,NaN,NaN,NaN,NaN,NaN,NaN,2020-01-14T05:15:00Z,2020-01-14T05:00:00Z,2020-01-14T05:10:00Z
1.666,14.2,258,5.8,7.1,10,266,1.06,1.305,14.2,258,0.914,3.1,187,1.621,9.9,2.016,10.4,2.62,10,2020-01-06T02:00:00Z,2020-01-06T02:00:00Z,2020-01-06T02:00:00Z
1.666,14.2,258,5.8,7.1,10,266,1.06,1.305,14.2,258,0.914,3.1,187,1.621,9.9,2.016,10.4,2.62,10,2020-01-06T02:05:00Z,2020-01-06T02:00:00Z,2020-01-06T02:00:00Z
1.666,14.2,258,5.8,7.1,10,266,1.06,1.305,14.2,258,0.914,3.1,187,1.621,9.9,2.016,10.4,2.62,10,2020-01-06T02:10:00Z,2020-01-06T02:00:00Z,2020-01-06T02:10:00Z
1.666,14.2,258,5.8,7.1,10,266,1.06,1.305,14.2,258,0.914,3.1,187,1.621,9.9,2.016,10.4,2.62,10,2020-01-06T02:15:00Z,2020-01-06T02:00:00Z,2020-01-06T02:10:00Z
1.667,14.2,266,5.9,7.5,11.4,254,0.99,1.35,14.2,266,0.936,3.9,251,1.649,11.5,2.129,13.4,2.575,14,2020-01-03T14:00:00Z,2020-01-03T14:00:00Z,2020-01-03T14:00:00Z
1.667,14.2,266,5.9,7.5,11.4,254,0.99,1.35,14.2,266,0.936,3.9,251,1.649,11.5,2.129,13.4,2.575,14,2020-01-03T14:05:00Z,2020-01-03T14:00:00Z,2020-01-03T14:00:00Z
1.667,14.2,266,5.9,7.5,11.4,254,0.99,1.35,14.2,266,0.936,3.9,251,1.649,11.5,2.129,13.4,2.575,14,2020-01-03T14:10:00Z,2020-01-03T14:00:00Z,2020-01-03T14:10:00Z
1.667,14.2,266,5.9,7.5,11.4,254,0.99,1.35,14.2,266,0.936,3.9,251,1.649,11.5,2.129,13.4,2.575,14,2020-01-03T14:15:00Z,2020-01-03T14:00:00Z,2020-01-03T14:10:00Z
1.667,14.2,249,6.3,8.1,12.3,258,1.05,1.367,14.2,249,0.913,3.7,38,1.814,13.2,2.293,14.5,2.703,15,2020-01-11T06:00:00Z,2020-01-11T06:00:00Z,2020-01-11T06:00:00Z
1.667,14.2,249,6.3,8.1,12.3,258,1.05,1.367,14.2,249,0.913,3.7,38,1.814,13.2,2.293,14.5,2.703,15,2020-01-11T06:05:00Z,2020-01-11T06:00:00Z,2020-01-11T06:00:00Z
1.667,14.2,249,6.3,8.1,12.3,258,1.05,1.367,14.2,249,0.913,3.7,38,1.814,13.2,2.293,14.5,2.703,15,2020-01-11T06:10:00Z,2020-01-11T06:00:00Z,2020-01-11T06:10:00Z
1.667,14.2,249,6.3,8.1,12.3,258,1.05,1.367,14.2,249,0.913,3.7,38,1.814,13.2,2.293,14.5,2.703,15,2020-01-11T06:15:00Z,2020-01-11T06:00:00Z,2020-01-11T06:10:00Z
1.671,14.2,266,4.6,6.4,11.9,262,1.07,1.301,14.2,266,0.997,6.7,159,1.826,11.8,2.293,13.3,2.752,13.5,2020-01-20T20:00:00Z,2020-01-20T20:00:00Z,2020-01-20T20:00:00Z
1.671,14.2,266,4.6,6.4,11.9,262,1.07,1.301,14.2,266,0.997,6.7,159,1.826,11.8,2.293,13.3,2.752,13.5,2020-01-20T20:05:00Z,2020-01-20T20:00:00Z,2020-01-20T20:00:00Z
1.671,14.2,266,4.6,6.4,11.9,262,1.07,1.301,14.2,266,0.997,6.7,159,1.826,11.8,2.293,13.3,2.752,13.5,2020-01-20T20:10:00Z,2020-01-20T20:00:00Z,2020-01-20T20:10:00Z
1.671,14.2,266,4.6,6.4,11.9,262,1.07,1.301,14.2,266,0.997,6.7,159,1.826,11.8,2.293,13.3,2.752,13.5,2020-01-20T20:15:00Z,2020-01-20T20:00:00Z,2020-01-20T20:10:00Z
1.674,14.2,250,7,9.1,12.6,290,1.05,1.446,14.2,250,0.742,6.7,261,1.617,13.1,1.905,13.1,2.509,13,2020-01-07T04:00:00Z,2020-01-07T04:00:00Z,2020-01-07T04:00:00Z
1.674,14.2,250,7,9.1,12.6,290,1.05,1.446,14.2,250,0.742,6.7,261,1.617,13.1,1.905,13.1,2.509,13,2020-01-07T04:05:00Z,2020-01-07T04:00:00Z,2020-01-07T04:00:00Z
1.674,14.2,250,7,9.1,12.6,290,1.05,1.446,14.2,250,0.742,6.7,261,1.617,13.1,1.905,13.1,2.509,13,2020-01-07T04:10:00Z,2020-01-07T04:00:00Z,2020-01-07T04:10:00Z
1.674,14.2,250,7,9.1,12.6,290,1.05,1.446,14.2,250,0.742,6.7,261,1.617,13.1,1.905,13.1,2.509,13,2020-01-07T04:15:00Z,2020-01-07T04:00:00Z,2020-01-07T04:10:00Z
1.707,14.2,267,7.7,10,13.8,262,1.04,1.528,14.2,267,0.713,4.4,228,1.752,14.5,2.224,14.8,3.062,13.5,2019-12-05T11:00:00Z,2019-12-05T11:00:00Z,2019-12-05T11:00:00Z
1.707,14.2,267,7.7,10,13.8,262,1.04,1.528,14.2,267,0.713,4.4,228,1.752,14.5,2.224,14.8,3.062,13.5,2019-12-05T11:05:00Z,2019-12-05T11:00:00Z,2019-12-05T11:00:00Z
1.707,14.2,267,7.7,10,13.8,262,1.04,1.528,14.2,267,0.713,4.4,228,1.752,14.5,2.224,14.8,3.062,13.5,2019-12-05T11:10:00Z,2019-12-05T11:00:00Z,2019-12-05T11:10:00Z
